date,close
2016-01-04,1003.70
2016-01-05,1004.35
2016-01-06,994.27
2016-01-07,986.39
2016-01-08,971.81
2016-01-11,996.74
2016-01-12,994.31
2016-01-13,1011.17
2016-01-14,1007.74
2016-01-15,1000.26
2016-01-18,1022.61
2016-01-19,1014.59
2016-01-20,1027.23
2016-01-21,1031.03
2016-01-22,1030.24
2016-01-25,1030.39
2016-01-26,1016.82
2016-01-27,1014.58
2016-01-28,1029.84
2016-01-29,1030.71
2016-02-01,1039.46
2016-02-02,1044.07
2016-02-03,1051.56
2016-02-04,1051.92
2016-02-05,1047.41
2016-02-08,1061.56
2016-02-09,1068.67
2016-02-10,1054.80
2016-02-11,1074.17
2016-02-12,1080.12
2016-02-15,1079.58
2016-02-16,1080.13
2016-02-17,1104.83
2016-02-18,1107.65
2016-02-19,1124.70
2016-02-22,1110.05
2016-02-23,1103.84
2016-02-24,1114.24
2016-02-25,1107.15
2016-02-26,1107.03
2016-02-29,1119.26
2016-03-01,1109.58
2016-03-02,1125.13
2016-03-03,1130.91
2016-03-04,1127.71
2016-03-07,1128.23
2016-03-08,1149.26
2016-03-09,1145.72
2016-03-10,1145.36
2016-03-11,1153.21
2016-03-14,1185.19
2016-03-15,1198.74
2016-03-16,1188.10
2016-03-17,1193.77
2016-03-18,1195.59
2016-03-21,1196.93
2016-03-22,1199.19
2016-03-23,1174.07
2016-03-24,1189.36
2016-03-25,1182.55
2016-03-28,1193.07
2016-03-29,1170.46
2016-03-30,1169.75
2016-03-31,1171.42
2016-04-01,1134.13
2016-04-04,1093.83
2016-04-05,1083.51
2016-04-06,1084.11
2016-04-07,1092.90
2016-04-08,1093.53
2016-04-11,1103.17
2016-04-12,1094.76
2016-04-13,1078.84
2016-04-14,1084.34
2016-04-15,1065.93
2016-04-18,1050.73
2016-04-19,1065.67
2016-04-20,1053.74
2016-04-21,1049.02
2016-04-22,1045.25
2016-04-25,1034.29
2016-04-26,1010.56
2016-04-27,1015.18
2016-04-28,1033.29
2016-04-29,1045.56
2016-05-02,1024.95
2016-05-03,1013.76
2016-05-04,1009.68
2016-05-05,1008.95
2016-05-06,996.58
2016-05-09,991.05
2016-05-10,986.18
2016-05-11,980.21
2016-05-12,992.40
2016-05-13,993.61
2016-05-16,969.55
2016-05-17,961.43
2016-05-18,984.17
2016-05-19,983.15
2016-05-20,992.27
2016-05-23,1001.93
2016-05-24,997.51
2016-05-25,993.36
2016-05-26,985.46
2016-05-27,1004.00
2016-05-30,1001.15
2016-05-31,999.61
2016-06-01,1006.47
2016-06-02,983.78
2016-06-03,999.49
2016-06-06,1009.19
2016-06-07,1009.36
2016-06-08,1005.42
2016-06-09,1007.80
2016-06-10,1016.25
2016-06-13,993.95
2016-06-14,1006.88
2016-06-15,1023.09
2016-06-16,1014.53
2016-06-17,1017.61
2016-06-20,1009.61
2016-06-21,1019.92
2016-06-22,1010.97
2016-06-23,999.62
2016-06-24,1007.33
2016-06-27,995.42
2016-06-28,975.68
2016-06-29,973.93
2016-06-30,997.80
2016-07-01,1004.06
2016-07-04,1005.79
2016-07-05,1007.48
2016-07-06,1000.15
2016-07-07,997.68
2016-07-08,987.61
2016-07-11,995.13
2016-07-12,1002.00
2016-07-13,999.12
2016-07-14,978.23
2016-07-15,970.91
2016-07-18,972.39
2016-07-19,971.77
2016-07-20,967.08
2016-07-21,985.70
2016-07-22,974.11
2016-07-25,975.47
2016-07-26,981.17
2016-07-27,982.04
2016-07-28,995.43
2016-07-29,996.46
2016-08-01,987.70
2016-08-02,976.35
2016-08-03,987.98
2016-08-04,960.85
2016-08-05,963.38
2016-08-08,949.50
2016-08-09,961.82
2016-08-10,981.77
2016-08-11,980.01
2016-08-12,994.26
2016-08-15,1000.23
2016-08-16,1020.95
2016-08-17,1016.27
2016-08-18,1016.91
2016-08-19,1012.22
2016-08-22,1019.68
2016-08-23,1036.36
2016-08-24,1031.26
2016-08-25,1065.87
2016-08-26,1090.41
2016-08-29,1103.73
2016-08-30,1110.56
2016-08-31,1099.46
2016-09-01,1079.14
2016-09-02,1081.06
2016-09-05,1071.70
2016-09-06,1042.40
2016-09-07,1046.59
2016-09-08,1062.99
2016-09-09,1067.00
2016-09-12,1061.87
2016-09-13,1051.77
2016-09-14,1044.88
2016-09-15,1044.89
2016-09-16,1044.17
2016-09-19,1040.11
2016-09-20,1029.60
2016-09-21,1015.72
2016-09-22,1027.37
2016-09-23,1002.46
2016-09-26,1021.70
2016-09-27,1004.64
2016-09-28,994.83
2016-09-29,969.49
2016-09-30,976.94
2016-10-03,989.03
2016-10-04,979.56
2016-10-05,967.28
2016-10-06,971.25
2016-10-07,962.56
2016-10-10,970.90
2016-10-11,971.96
2016-10-12,960.69
2016-10-13,956.97
2016-10-14,977.93
2016-10-17,971.25
2016-10-18,967.17
2016-10-19,956.60
2016-10-20,953.23
2016-10-21,954.73
2016-10-24,949.18
2016-10-25,940.53
2016-10-26,950.56
2016-10-27,944.58
2016-10-28,946.21
2016-10-31,939.22
2016-11-01,923.30
2016-11-02,937.15
2016-11-03,931.71
2016-11-04,938.36
2016-11-07,954.07
2016-11-08,958.74
2016-11-09,949.81
2016-11-10,949.68
2016-11-11,954.25
2016-11-14,953.37
2016-11-15,961.92
2016-11-16,969.40
2016-11-17,960.72
2016-11-18,940.43
2016-11-21,950.54
2016-11-22,953.42
2016-11-23,977.47
2016-11-24,957.72
2016-11-25,973.69
2016-11-28,968.47
2016-11-29,968.77
2016-11-30,979.54
2016-12-01,987.05
2016-12-02,984.50
2016-12-05,979.31
2016-12-06,977.34
2016-12-07,988.83
2016-12-08,988.65
2016-12-09,991.99
2016-12-12,984.55
2016-12-13,977.74
2016-12-14,968.25
2016-12-15,973.56
2016-12-16,970.95
2016-12-19,972.61
2016-12-20,967.56
2016-12-21,966.78
2016-12-22,952.51
2016-12-23,958.78
